#------------------------------------------------------------------------------------------------------------------
# Dados do sistema Baran Wu.
#------------------------------------------------------------------------------------------------------------------
param Vnom  := 12.66;		#Nominal line voltage (kV)
param Vbase := 12.66;		#Base line voltage (kV)
param Sbase := 1000;		#3-Phase base power (kVA)=10000 or 100000
param rho := 0;            #Percent Demanand response 

param Dt:=1; # Delta de tempo;
set PER := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23;      # Condições operacionais:
set Scen:= 1 2 ;
set Y:= 1 2 3 4 5;

#---- Barras candidatas 

set CB:= 4 7 14 19 25 29 30 31 ;
set PV:= 8 15 25 32;
set GD:= 15 32;
set BB:= 8 15 25 32;


#---- Dados VEs

param dEVaux := 
0 	0.36447840	
1 	0.35735744	
2 	0.32070192	
3 	0.28633088	
4 	0.25408240	
5 	0.23070784	
6 	0.22211728	
7 	0.21539584	
8 	0.30996268	
9 	0.37897012	
10	0.40844704	
11	0.42050492	
12	0.42960500	
13	0.43783584	
14	0.44586792	
15	0.45433064	
16	0.46107748	
17	0.46650877	
18	0.43413196	
19	0.42332600	
20	0.41912024	
21	0.42672460	
22	0.42362928	
23	0.36513136;


param locEV :
	   1	 2	   3	 4	   5:=
1      0     0     0     0     0
2      1     1     2     3     4
3      1     1     2     3     4
4      1     2     3     4     5
5      1     1     1     2     2
6      1     1     1     2     2
7      2     3     4     6     8
8      2     3     4     6     8
9      1     1     1     2     2
10     1     1     1     2     2
11     0     1     1     1     2
12     1     1     1     2     2
13     1     1     1     2     2
14     1     2     3     4     5
15     1     1     1     2     2
16     1     1     1     2     2
17     1     1     1     2     2
18     1     1     2     3     4
19     1     1     2     3     4
20     1     1     2     3     4
21     1     1     2     3     4
22     1     1     2     3     4
23     1     1     2     3     4
24     4     6     9    12    17
25     4     6     9    12    17
26     1     1     1     2     2
27     1     1     1     2     2
28     1     1     1     2     2
29     1     2     3     4     5
30     2     3     4     6     8
31     1     2     3     4     6
32     2     3     4     6     8
33     1     1     1     2     2;


# Dados de linhas
param :    B:         R         X      Imax      State:=
#      from to       (Ω)       (Ω)      (A)    
      1    2     0.0922     0.0477      500        1   #1
      2    3     0.4930     0.2511      500        1   #2
      3    4     0.3660     0.1864      500        1   #3
      4    5     0.3811     0.1941      500        1   #4
      5    6     0.8190     0.7070      500        1   #5
      6    7     0.1872     0.6188      500        1   #6
      7    8     0.7114     0.2351      500        1   #7
      8    9     1.0300     0.7400      500        1   #8
      9   10     1.0440     0.7400      500        1   #9
      10  11     0.1966     0.0650      500        1   #10
      11  12     0.3744     0.1238      500        1   #11
      12  13     1.4680     1.1550      500        1   #12
      13  14     0.5416     0.7129      500        1   #13
      14  15     0.5910     0.5260      500        1   #14
      15  16     0.7463     0.5450      500        1   #15
      16  17     1.2890     1.7210      500        1   #16
      17  18     0.7320     0.5740      500        1   #17
      2   19     0.1640     0.1565      500        1   #18
      20  19     1.5042     1.3554      500        1   #19
      20  21     0.4095     0.4784      500        1   #20
      21  22     0.7089     0.9373      500        1   #21
      3   23     0.4512     0.3083      500        1   #22
      23  24     0.8980     0.7091      500        1   #23
      24  25     0.8960     0.7011      500        1   #24
      6   26     0.2030     0.1034      500        1   #25
      26  27     0.2842     0.1447      500        1   #26
      27  28     1.0590     0.9337      500        1   #27
      28  29     0.8042     0.7006      500        1   #28
      29  30     0.5075     0.2585      500        1   #29
      30  31     0.9744     0.9630      500        1   #30
      31  32     0.3105     0.3619      500        1   #31
      32  33     0.3410     0.5302      500        1   #32
      # Tie Lines                                        
      # 8   21     2.0000     2.0000      500        0   #33
      # 9   15     2.0000     2.0000      500        0   #34
      # 12  22     2.0000     2.0000      500        0   #35
      # 18  33     0.5000     0.5000      500        0   #36
      # 25  29     0.5000     0.5000      500        0   #37
;
# Tc = tipo de consumidor
param : N:  Tb    SMAX      PD      QD   Lambda     Tc:=
#      Bus Type    (kW)   (kVAr)              
        # 1    1  4450      1e-5    1e-5       1       1
        1    1  4000      1e-5    1e-5       1       1
        # 1    1  2000      1e-5    1e-5       1       1
        2    0     0       100      60       1       1
        3    0     0        90      40       2       1
        4    0     0       120      80       3       1
        5    0     0        60      30       1       1
        6    0     0        60      20       2       1
        7    0     0       200     100       3       1
        8    0     0       200     100       1       1
        9    0     0        60      20       2       1
        10   0     0        60      20       3       1
        11   0     0        45      30       1       1
        12   0     0        60      35       2       1
        13   0     0        60      35       3       1
        14   0     0       120      80       3       1
        15   0     0        60      10       2       1
        16   0     0        60      20       1       1
        17   0     0        60      20       2       1
        18   0     0        90      40       3       1
        19   0     0        90      40       1       1
        20   0     0        90      40       2       1
        21   0     0        90      40       3       1
        22   0     0        90      40       4       1
        23   0     0        90      50       1       1
        24   0     0       420     200       2       1
        25   0     0       420     200       1       1
        26   0     0        60      25       1       1
        27   0     0        60      25       2       1
        28   0     0        60      20       3       1
        29   0     0       120      70       4       1
        30   0     0       200     600       2       1
        31   0     0       150      70       3       1
        32   0     0       210     100       1       1
        33   0     0        60      40       2       1

;

param: SC  :   CostE      FD       G       Prob:=
#            ($/MWh)    factor(%)  (W/m2)  
#0     1        1000         1          0         1
 0     1     39.0603    0.7172          0    0.5161
 0     2     39.3807    0.7508          0    0.4839
 1     1     35.7920    0.6436          0    0.4946
 1     2     35.5704    0.6756          0    0.5054
 2     1     32.0477    0.6405          0    0.5699
 2     2     31.8509    0.6102          0    0.4301
 3     1     30.1847    0.6216          0    0.4839
 3     2     29.8530    0.5912          0    0.5161
 4     1     29.1570    0.6127          0    0.5269
 4     2     29.1330    0.5810          0    0.4731
 5     1     29.0760    0.5805          0    0.4946
 5     2     29.2134    0.6106          0    0.5054
 6     1     30.8529    0.5965          0    0.5054
 6     2     30.8300    0.6267          0    0.4946
 7     1     31.7961    0.6265     3.4007    0.4194
 7     2     32.0733    0.6573     6.1583    0.5806
 8     1     39.8409    0.6934    79.7472    0.7204
 8     2     39.8919    0.6957   166.5838    0.2796
 9     1     49.1848    0.7404   237.3688    0.6452
 9     2     48.9844    0.7440   375.8199    0.3548
10     1     56.1698    0.7845   514.4403    0.7419
10     2     55.6461    0.7901   317.3915    0.2581
11     1     61.8916    0.8226   499.8283    0.5161
11     2     61.8557    0.8252   704.1819    0.4839
12     1     70.0591    0.8350   443.5695    0.2151
12     2     70.6119    0.8426   746.7011    0.7849
13     1     78.4633    0.8561   771.7238    0.7419
13     2     77.6765    0.8497   470.5044    0.2581
14     1     84.3627    0.8852   427.3525    0.2796
14     2     84.6194    0.8774   730.8263    0.7204
15     1     99.5252    0.8788   610.1022    0.7634
15     2     99.7215    0.8770   320.3366    0.2366
16     1    101.8263    0.8815   451.2369    0.7097
16     2    101.8070    0.8883   247.5174    0.2903
17     1     98.4442    0.8941   275.3579    0.4731
17     2     98.6859    0.8923   164.7494    0.5269
18     1     81.7759    0.8940    42.2131    0.7957
18     2     81.9793    0.9151    98.5539    0.2043
19     1     68.0189    0.9119     0.5972    0.5161
19     2     67.8116    0.8668     0.6035    0.4839
20     1     59.9751    0.8999          0    0.5376
20     2     59.7863    0.8565          0    0.4624
21     1     57.0711    0.9040          0    0.5269
21     2     56.7891    0.8579          0    0.4731
22     1     55.2928    0.8853          0    0.4839
22     2     55.6233    0.8452          0    0.5161
23     1     47.8404    0.8210          0    0.4946
23     2     47.6098    0.7806          0    0.5054
;

param: TipoCarga:    PZ    PI    PP    QZ    QI    QP :=
               1      0     0     1     0     0     1 #
               2    0.1   0.4   0.5     1     0     0 #
               3    0.5   0.5   0.0     1     0     0 #
;
